,temparature,humidity,gasAnalog,flameDetected,fireStatus
,2.920.000.076,79,592,FALSE,FALSE
,2.920.000.076,79,591,FALSE,FALSE
,2.920.000.076,78,567,FALSE,FALSE
,2.920.000.076,78,581,FALSE,FALSE
,2.920.000.076,79,592,FALSE,FALSE
,2.920.000.076,79,571,FALSE,FALSE
,2.920.000.076,78,587,FALSE,FALSE
,2.920.000.076,78,579,FALSE,FALSE
,2.920.000.076,79,562,FALSE,FALSE
,2.920.000.076,78,582,FALSE,FALSE
,2.920.000.076,79,581,FALSE,FALSE
,2.920.000.076,78,577,FALSE,FALSE
,2.920.000.076,79,577,FALSE,FALSE
,2.920.000.076,78,590,FALSE,FALSE
,2.920.000.076,79,593,FALSE,FALSE
,2.920.000.076,79,612,FALSE,FALSE
,2.920.000.076,79,614,FALSE,FALSE
,2.920.000.076,79,599,FALSE,FALSE
,2.920.000.076,79,602,FALSE,FALSE
,2.920.000.076,79,598,FALSE,FALSE
,2.920.000.076,79,607,FALSE,FALSE
,2.920.000.076,79,595,FALSE,FALSE
,2.920.000.076,79,591,FALSE,FALSE
,2.920.000.076,79,594,FALSE,FALSE
,2.920.000.076,79,586,FALSE,FALSE
,2.920.000.076,79,607,FALSE,FALSE
,2.920.000.076,79,609,FALSE,FALSE
,2.920.000.076,79,590,FALSE,FALSE
,2.920.000.076,79,591,FALSE,FALSE
,2.920.000.076,79,602,FALSE,FALSE
,2.920.000.076,79,604,FALSE,FALSE
,2.910.000.038,79,624,FALSE,FALSE
,2.910.000.038,79,620,FALSE,FALSE
,2.910.000.038,79,624,FALSE,FALSE
,2.910.000.038,79,619,FALSE,FALSE
,2.910.000.038,79,595,FALSE,FALSE
,2.910.000.038,79,601,FALSE,FALSE
,2.910.000.038,79,622,FALSE,FALSE
,2.910.000.038,79,607,FALSE,FALSE
,2.910.000.038,79,606,FALSE,FALSE
,2.910.000.038,79,611,FALSE,FALSE
,2.910.000.038,79,613,FALSE,FALSE
,2.910.000.038,79,601,FALSE,FALSE
,2.910.000.038,79,601,FALSE,FALSE
,2.910.000.038,79,610,FALSE,FALSE
,2.910.000.038,79,603,FALSE,FALSE
,2.910.000.038,79,595,FALSE,FALSE
,2.910.000.038,79,610,FALSE,FALSE
,2.910.000.038,79,590,FALSE,FALSE
,2.910.000.038,79,602,FALSE,FALSE
,2.910.000.038,79,603,FALSE,FALSE
,2.910.000.038,79,605,FALSE,FALSE
,2.910.000.038,79,607,FALSE,FALSE
,2.910.000.038,79,603,FALSE,FALSE
